Search Terms,Categories,Sub-Categories
typified by,Yellow,1.1.01 Description
owing to,Yellow,1.1.02 Commonplace
identification of,Yellow,1.1.03 Timeline of events
which encodes,Yellow,1.1.01 Description
"In the past 6 years,",Yellow,1.1.05 Insights
additional pathways,Yellow,1.1.06 Historical
have been described,Yellow,1.1.07 Functional Role
deleterious,Yellow,1.1.01 Description
among others,Yellow,1.1.01 Description
cases of,Yellow,1.1.1 Contains
is a,Yellow,1.1.11 Literature Gap
with an estimated,Yellow,1.1.01 Description
Until,Yellow,1.1.13 Epidemiology
was first described,Yellow,1.1.14 Comorbidity
referred to,Yellow,1.1.15 Cause-Effect
signalling in,Yellow,1.1.16 Cellular Pathway
the causal,Yellow,1.1.15 Cause-Effect
a member of the,Yellow,1.1.18 Belongs
encompassing an,Yellow,1.1.1 Contains
is initiated,Yellow,1.1.2 Cellular Process
with the formation of,Yellow,1.1.21 Complex Interaction
is cell-specific,Yellow,1.1.22 Cell type specific
signalling in,Yellow,1.1.2 Cellular Process
In conjunction with the,Yellow,1.1.24 Cellular Interaction
where it combines,Yellow,1.1.25 Cellular Signalling
Since the,Yellow,1.1.03 Timeline of events
numerous,Yellow,1.1.27 Frequency of Studies
have been undertaken,Yellow,1.1.28 Studies performed
have been detected,Yellow,1.1.29 Detection
of which,Yellow,1.1.3 Results
fall into the,Yellow,1.1.18 Belongs
By contrast,Yellow,1.1.3 Results
Given that,Yellow,1.1.33 Evidence
spare the,Yellow,1.1.34 Does not include
via the,Yellow,1.1.25 Cellular Signalling
a study involving,Yellow,1.1.33 Evidence
specifically the,Yellow,1.2.37 Specific Location
the majority of studies,Yellow,1.1.33 Evidence
have historically been,Yellow,1.2.39 Genetic Location
including the,Yellow,1.2.4 Inclusive of
within a specific,Yellow,1.2.39 Genetic Location
study in a mouse model,Yellow,1.2.42 Mouse model
signalling in,Yellow,1.1.25 Cellular Signalling
is an,Yellow,1.2.44 Clinical Definition
which are members of,Yellow,1.1.25 Cellular Signalling
of which,Yellow,1.2.46 Included in
discovery of,Yellow,1.2.47 Discover of
in particular,Yellow ,1.2.48 Important
Implicated causal factors,Yellow,1.2.49 Suspected Contributors
were initially implicated,Yellow,1.1.33 Evidence
Assuming that,Yellow,1.2.51 Assumption
retention of the,Yellow,1.2.52 Physical Rentention
with concomitant sequestration,Yellow,1.2.53 Physical Domain
the dysregulation of,Yellow,1.2.54 Dysregulation
compared with controls,Yellow,1.2.55 Case Control
in the absence of,Yellow,1.1.33 Evidence
by the discovery,Yellow,1.1.33 Evidence
across the,Yellow,1.2.58 Structural Localization
essential for,Yellow,1.2.59 Essential
in conjunction with,Yellow,1.2.6 In conjunction with
generation of,Yellow,1.2.61 Generation of
indicated that,Yellow,1.2.62 Indicated that
"Of note,",Yellow,1.2.63 Of importance
further reiterating the need for,Yellow,1.2.64 Calling for
Genome-wide gene burden,Yellow,1.2.65 Genomewide Analysis
"gene burden tests,",Yellow,1.2.66 Gene burden test
comparison of,Yellow,1.2.67 Comparable Analysis
In keeping with previous studies,Yellow,1.2.68 In keeping with
The majority of,Yellow,1.2.69 Majority of
causal role of,Yellow,1.2.7 Possible Cause
as the primary site of,Yellow,1.2.71 Cellular localization
a member of the,Yellow,1.2.72 Member of
within the,Yellow,1.2.58 Structural Localization
is integral,Yellow,1.2.48 Important
to the maintenance of,Yellow,1.2.75 Maintenance
through either,Yellow,1.2.76 Pathway
-mediated,Yellow,1.2.77 Pathway
Given that,Yellow,1.2.78 Prior Knowledge
within the,Yellow,1.2.79 Localization
including,Yellow,1.2.4 Inclusive of
In conjunction with,Yellow,1.2.6 In conjunction with
involved in,Yellow,1.2.82 Involved in
which is,Yellow,1.2.83 which goes through or becomes
a grouping of,Yellow,1.2.84 Grouping of
on the interface of,Yellow,1.2.58 Structural Localization
across different,Yellow,1.2.86 Categorization
more comprehensively,Yellow,1.2.87 Completeness
disease-causing,Yellow,1.1.15 Cause-Effect
have previously,Yellow,1.1.33 Evidence
predominantly cluster in,Yellow,1.2.9 Clustered in
also known as,Yellow,1.2.91 Also known as
is a,Yellow,1.1.02 Commonplace
marked genetic heterogeneity.,Yellow,1.2.93 Differences in Genetic Makeup
were located within,Yellow,1.2.94 Genomic Location
Taken together with,Yellow,1.1.33 Evidence
genetic architecture of,Yellow,1.2.96 Genetic Composition
evaluated in the context of the,Yellow ,1.2.97 Driven or Guided Analysis
"To date,",Yellow,1.2.98 Up to now
based on,Yellow ,1.2.99 Developed based on 
seems to be,Yellow,1.3 Appears as
cell-specific,Yellow,1.3.01 Cell Specific
"To date,",Yellow,1.2.98 Up to now
is a,Yellow,1.1.02 Commonplace
known or predicted,Yellow,1.3.04 Specific examples
help to,Yellow,1.3.05 Help to
since the,Yellow,1.3.06 Ever since
introduction of,Yellow,1.3.07 Introduced to
was defined clinically,Blue,2.1.01 Historical definition
Consistent features,Blue,2.1.02 New Definition
include,Blue,2.1.03 Commonplace
in a case report of,Blue,2.1.01 Historical definition
observed in a,Blue,2.1.05 Distinguish
includes various,Blue,2.1.06 New Evidence
describing patients with,Blue,2.1.07 Categorization
associated forms,Blue,2.1.08 Health Record
can also be diagnosed,Blue,2.1.09 Clinical Manifestation
in whom prognosis,Blue,2.1.1 Diagnosis
Clinical features of disease,Blue,2.1.11 Prognosis
have an earlier age of onset,Blue,2.1.12 Alternatives
upon initial,Blue,2.1.13 Clinical Outcome
In the absence of,Blue,2.1.1 Diagnosis
much more frequently,Blue,2.1.15 Observation
ratio of occurrence in,Blue,2.1.16 Frequency
differential ag,Blue,2.1.17 Differences
in patients with,Blue,2.1.18 Molecular Diagnostic
is present in,Blue,2.1.19 Human Genetics
underlying,Blue,2.1.2 Contributes to
combined panel of,Blue,2.1.21 Human cohort
encompassing a,Blue,2.1.22 Inclusive of 
including,Blue,2.1.22 Inclusive of 
Of the patients with,Blue,2.1.08 Health Record
In contrast to the,Blue,2.1.25 Patient Cohort
in patients with,Blue,2.1.26 Patients with
co-present in,Blue,2.1.19 Human Genetics
in patients with,Blue,2.1.08 Health Record
within a,Blue,2.1.29 Family Tree
develop clinical features of,Blue,2.1.3 Comparable Manifestations
aggressive form of,Blue,2.1.31 Advanced Stages
Under the present clinical classification,Blue,2.1.32 Clinical Definition
fall within,Blue,2.1.33 Members of
with overt features of,Blue,2.1.34 Observed with
The clinical and histological overlap,Blue,2.1.35 Clinical Histology
defects in,Blue,2.2.36 Deficiencies
patients clinically diagnosed with,Blue,2.1.1 Diagnosis
distinct from patients,Blue,2.2.38 Distinct
the efficient management and treatment of,Blue,2.2.39 Clinical Practice
the statistical power of,Blue,2.2.4 Significance
increasingly complex aetiology,Blue,2.2.41 Unknown Etiology
was recruited for,Blue,2.2.42 Included in
The cohort predominantly comprised,Blue,2.1.25 Patient Cohort
had a significantly younger age,Blue,2.2.44 Age Comparison
in multiple,Blue,2.2.45 Different
study involving,Blue,2.2.46 Clinical study cohort
A similar study in a,Blue,2.2.47 Similar Study
during human development,Blue,2.2.48 Human Development
in patients with,Blue,2.1.08 Health Record
diagnostic protocols,Blue,2.2.5 Clinical Processes
clinical features of,Blue,2.1.09 Clinical Manifestation
in limited sample sets,Blue,2.2.52 Limited sample set
among the,Blue,2.1.25 Patient Cohort
compared with the,Blue,2.2.54 Comparable Analysis
earlier age of onset in,Blue,2.2.55 Younger Populations
in a patient with,Blue,2.2.56 Patient Outlier
in an extended,Blue,2.1.25 Patient Cohort
identified likely,Blue,2.2.58 Detected Possible
in paediatric patients,Blue,2.2.59 Particular Population
extensive study populations,Blue,2.2.6 Diversity
in rare diseases with,Blue,2.2.61 Rare Diseases
patient cohort comprising,Blue,2.2.62 Patient Analysis
discovery dataset of,Blue,2.2.63 Discovery dataset
validation cohort,Blue,2.1.25 Patient Cohort
"Across the total sample set,",Blue,2.2.65 Across the samples
from patients with,Blue,2.1.26 Patients with
different ethnic groups.,Blue,2.2.6 Diversity
independent discovery datasets,Blue,2.2.68 Data for New Validation
cohort comprised patients from,Blue,2.1.25 Patient Cohort
population-matched control individuals,Blue,2.2.7 Population case control
patient survival,Blue,2.2.71 Patient Survival
in at-risk individuals,Blue,2.2.72 At risk populations
clinics into routine patient care,Blue,2.2.73 Practicing Clinics 
within specialist,Blue,2.2.74 With Related Medical Speciality
For patients with,Blue,2.2.75 Patients affected by
harbouring known gene defects,Blue,2.1.26 Patients with
family members and successive generations,Blue,2.2.77 Possible Genetic Inheritance in Families
between subtypes of,Blue,2.1.26 Patients with
a given patient,Blue,2.2.79 Patient Population
as a therapeutic approach,Blue,2.2.8 Therapeutic Contribution
in patients with,Blue,2.1.25 Patient Cohort
the genetic background of a,Blue,2.2.82 Genetic makeup of someone
whether the condition is,Blue,2.2.83 Presence of
in the context of disease,Blue,2.2.84 In relation to the disease
precision medicine and personalised therapeutic interventions,Blue,2.2.85 Personalized Medicine
can lead to,Purple,3.1.01 Probable Impact
often,Purple,3.1.01 Probable Impact
approaches,Purple,3.1.03 Process
to identify,Purple,3.1.04 Problem solving methods
through the,Purple,3.1.05 Characterization
we outline the,Purple,3.1.06 Supportive evidence
subsequently employed,Purple,3.1.07 Historical Definition
to set apart,Purple,3.1.08 New definition
takes into account,Purple,3.1.09 Cause-Effect
segregates as,Purple,3.1.1 Clinical manifestation
genetic aetiology of,Purple,3.1.11 Contributes to
factors that,Purple,3.1.12 Causative factor
Subsequent systematic analyses of the,Purple,3.1.13 Systematic Analysis
Subsequent interrogation,Purple,3.1.14 Investigation
was performed on,Purple,3.1.15 Genetic Analysis
Direct screening of,Purple,3.1.15 Genetic Analysis
Analyses of patients,Purple,3.1.17 Patient Analysis
Subsequent interrogation of,Purple,3.1.18 New contribution
Functional analyses of,Purple,3.1.19 Analysis
technological advances,Purple,3.1.2 Technological Advances
have been analysed,Purple,3.1.19 Analysis
have been powerful tools,Purple,3.1.22 Great Tools
through analysis of,Purple,3.1.23 Analytical Tool Set
Employing a direct approach,Purple,3.1.24 Direct Analysis
based on a model of,Purple,3.1.25 Model
Further examination of,Purple,3.1.26 New Evidence
Replication of,Purple,3.1.27 Replication Analysis
through the,Purple ,3.1.19 Analysis
A separate study has,Purple,3.1.29 Line of evidence
functional analysis of,Purple,3.1.3 Functional Analysis
comprehensive examination of,Purple,3.1.19 Analysis
direct sequencing of,Purple,3.1.32 Human DNA Sequencing
to examine the,Purple,"3.1.33 Analyze, Examine, Study"
has served to,Purple,3.1.34 Contributed to
To determine the genetic basis,Purple,3.1.35 Genetic Contribution to
was performed,Purple,3.1.19 Analysis
independently detected,Purple,3.2.37 Coincides with other results
is triggered by,Purple,3.2.38 Induced by
via the,Purple,3.2.39 Cellular Pathway
prompted the assessment of,Purple,3.2.4 Curiosity
Analysis of,Purple,3.1.19 Analysis
Further validation,Purple,3.2.42 New Research
genetic studies,Purple,3.2.43 Genetic Studies
the development of,Purple,3.2.44 Creation
through the,Purple,3.2.45 Through the
To evaluate existing,Purple,3.2.46 Study Existing
Initial screening of,Purple,3.2.47 Initial Genomic Analysis
validation in,Purple,3.2.48 Validation
were further demonstrated,Purple,3.2.49 Demonstrated
preliminary analyses,Purple,3.1.19 Analysis
case-control analyses,Purple,3.2.51 Case Control
Mapping of,Purple,3.2.52 Mapping of
onto the,Purple,3.2.53 Structural localization
analysis of,Purple,3.1.19 Analysis
transfected with,Purple,3.2.55 Cells Added with
compared with,Purple,3.2.56 Compared with
Candidate-gene analyses,Purple,3.1.15 Genetic Analysis
assess the,Purple,3.1.14 Investigation
was performed in,Purple,3.2.59 Performed
confer the highest degree,Purple,3.1.11 Contributes to
compared with,Purple,3.2.56 Compared with
A follow-up report,Purple,3.2.62 Follow-Up Report
treatment of these cells with,Purple,3.2.63 Cell Biology
in an extensive study,Purple,3.2.64 Comprehensive Research
investigate the composition,Purple,3.2.65 Composition Analysis
was conducted in,Purple,3.2.66 Prior Research
Using a,Purple,3.2.67 Employing
genotyped across,Purple,3.2.68 Variants analyzed and identified
Analysis of,Purple,3.1.19 Analysis
Treatment of,Purple,3.2.7 Treatmetn
has also been conducted,Purple,3.2.71 Has also been conducted
Replication analysis,Purple,3.2.72 New Validation
validation study,Purple,3.2.73 Validation Analysis
studies demonstrating,Purple,3.2.74 Demonstrative Evidence
will require,Purple,3.2.75 Will demand
followed by,Purple,3.2.76 Accompanied by
to cross-validate,Purple,3.2.77 Confirm with
it utilised,Purple,3.2.78 Leveraged
to obtain,Purple,3.2.79 Generate
combined association comparison,Purple,3.2.8 Combined Association Study
An investigation of,Purple,3.2.81 Evidence Validation
functional evaluation of,Purple,3.1.3 Functional Analysis
compared with,Purple,3.2.56 Compared with
The assessment of,Purple,3.1.19 Analysis
mutation analysis of,Purple,3.2.85 Mutation Analysis
molecular confirmation of the diagnosis,Purple,3.2.86 Molecular Analysis
numerous studies have,Purple,3.2.87 Substantial Evidence
accurate assessment of,Purple,3.2.88 Analysis providing accurate description
the integration of,Purple,3.2.89 Inclusiveness of
the development of,Purple,3.2.9 Development of
clinical genetic testing,Purple,3.2.91 Clinical Genetic Analysis
early monitoring,Purple,3.2.92 Early Monitoring
treatment intervention,Purple,3.2.93 Treating patients
o support risk calculations,Purple,3.2.94 Genetic risk assessments
treatment strategies.,Purple,3.2.95 Clinical Treatment Modalities
permit,Purple,3.2.96 Enable for
differential diagnosis,Purple,3.2.97 Distinguishing Diagnosis
the development of,Purple,3.2.98 Generation of
Proof-ofconcept studies,Purple,3.2.99 Evidence Generating Studies
These studies have been reviewed,Purple,3.3 Previously Analyzed
trials in,Purple,3.3.01 Clinical Trials
after pharmacological intervention,Purple,3.3.02 Intervention with pharmacological agent
further preclinical testing is required,Purple,3.3.03 More Preclinical Evidence Required
progression of research from,Purple,3.3.04 Improvement in research stages
proof-of-principle notion,Purple,3.3.05 Can serve as significant evidence
precision medicine treatments,Purple,3.3.06 Precisely treating mechanisms of disease in patients
has been assessed,Purple,3.3.07 Has been analyzed
This method of,Purple,3.3.08 Method of
through GWAS analysis,Purple,3.3.09 GWAS Analysis
analysed for,Purple,3.3.1 Assessed
inadequate systematic examination,Purple,3.3.11 Not sufficient evidence
functional genomics of,Purple,3.3.12 Functional Analysis of Genetic Variants
robustly analysed to,Purple,3.3.13 Properly Analyzed
via a combination of,Purple,3.3.14 Inclusion of
capture technologies.,Purple,3.3.15 Real Time Data
onto a joint platform,Purple,3.3.16 Collaborative Platform
The formation of the,Purple,3.3.17 Creation of
requisite for,Purple,3.3.18 Required
To investigate,Purple,3.3.19 To further research
the assessment of,Purple,3.1.19 Analysis
compared with,Purple,3.2.56 Compared with
the analysis of,Purple,3.3.22 The determination of
determination of,Purple,3.3.23 Identification of
aimed at,Purple,3.3.24 For the purpose of
tailored to,Purple,3.3.25 Specifically designed to
Specific examples,Purple,3.3.26 Includes
to examine,Purple,3.3.27 To Evaluate
to evaluate,Purple,3.3.27 To Evaluate
Employing a,Purple,3.3.29 Including
Long-term analyses,Purple,3.3.3 Comprehensive long-term analysis
might include the,Purple,3.3.31 Inclusive of
more holistic approach,Purple,3.3.32 complete Method
by combining,Purple,3.3.33 Combining
with comprehensive,Purple,3.3.34 Comprehensive
molecular-based classification,Purple,3.2.86 Molecular Analysis
In combination with,Purple,3.3.36 In combination with
tissue functioning and imaging,Purple,3.3.37 Multi-Modality
precisely categorize features,Purple,3.3.38 Describe important features
the development of,Purple,3.3.39 The creation of
evaluation of,Purple,3.3.4 Evaluation of
identification of,Purple,3.3.41 Detection of
Dysregulation of,Purple,3.3.42 Disruption of
molecular testing into,Purple,3.3.43 Molecular Testing
is a,Green,4.2.1 Mechanism Insights
can lead to,Green,4.2.02 Cause-Effect
Since the,Green,4.2.02 Cause-Effect
the development of,Green,4.2.04 Functional Role
substantially advanced,Green,4.2.05 Description
identification of,Green,4.2.06 Process
Although,Green,4.2.07 Alternatives
most often has an,Green,4.2.07 Alternatives
support a model,Green,4.2.01 Mechanisms Insights
in the detection of,Green,4.2.1 Index
underlying,Green,4.2.11 Detection
can help to identify,Green,4.2.12 Clinical Gap
the absence of any underlying,Green,4.2.05 Description
in which the,Green,4.2.14 Health Record
revealed no obvious reason,Green,4.2.15 Present Observation
with a discernible cause of,Green,4.2.16 Reported in patients
typically manifests in,Green,4.2.17 Clinical Manifestations
with worse,Green,4.2.18 Disease Onset
is frequently,Green,4.2.19 Absense of 
indicates the presence,Green,4.2.2 Frequency
resulting from,Green,4.2.17 Clinical Manifestations
which leads to,Green,4.2.02 Cause-Effect
has been reported,Green,4.2.02 Cause-Effect
is observed,Green,4.2.24 Human Genetics
ranging between,Green,4.2.2 Frequency
which reflects the,Green,4.2.26 Clinical Ratio
variability of,Green,4.2.17 Clinical Manifestations
been also observed,Green,4.2.28 Age of Onset
indicate that,Green,4.2.17 Clinical Manifestations
might influence,Green,4.2.3 New contribution
was established on the,Green,4.2.31 Location
leading to,Green,4.2.32 Contributes to
to determine,Green ,4.2.33 Results
identification of,Green,4.2.34 Detection
encoding,Green,4.2.35 Functional Role
independent validation,Green,4.2.36 Unbiased validation
is triggered by,Green,4.2.37 Cellular Process
activates a,Green,4.2.38 Activation
translocates to the,Green,4.2.37 Cellular Process
to regulate the,Green,4.2.37 Cellular Process
identification of,Green,4.2.41 Discovery
which have together established,Green,4.2.42 Determined
data indicate,Green,4.2.33 Results
is similar in both,Green,4.2.44 Similar Results
that result in,Green,4.2.33 Results
the vast majority of,Green,4.2.46 Frequency
lead to,Green,4.2.33 Results
owing to,Green,4.2.02 Cause-Effect
have been observed in,Green,4.2.33 Results
as a consequence of,Green,4.2.5 Possible cause
to be a result,Green,4.2.51 Resulting from
arose on distinct,Green,4.2.52 Genetic Location
the presence of,Green,4.2.53 Present Observation
are widely distributed,Green,4.2.54 Location
the majority are localized,Green,4.2.54 Location
encoded by,Green,4.2.04 Functional Role
functionally delineated by,Green,4.2.57 Genetic Map
to identify,Green,4.2.58 Localize
have identified,Green,4.2.59 Detection
which has been predicted to,Green,4.2.04 Functional Role
abrogate specificity for,Green,4.2.61 Prevent binding
the high frequency at,Green,4.2.62 Frequency of cases
indicates that,Green,4.2.63 Characterization
consolidates,Green,4.2.64 Evidence
as the primary,Green,4.2.02 Cause-Effect
is an established,Green,4.2.66 Contribution
led to the,Green,4.2.33 Results
detection of,Green,4.2.34 Detection
within the,Green,4.2.69 Genetic Analysis
were observed in,Green,4.2.34 Detection
presented with an,Green,4.2.17 Clinical Manifestations
whereas one had,Green,4.2.72 Patient Outlier
were not clustered,Green,4.2.73 Genetic Cluster
genetic data are reinforced by,Green,4.2.74 Evidence validation
clinically characterized,Green,4.2.63 Characterization
infrequently,Green,4.2.76 Frequency of Interaction
suggesting a,Green,4.2.77 Suggestive of
is caused by,Green,4.2.02 Cause-Effect
thus represent,Green,4.2.79 Contributes to
confirmed the existence of,Green,4.2.80 Confirmation
have been reported,Green,4.2.53 Present Observation
The vast majority of,Green,4.2.82 Frequency of Studies
are contained within the,Green,4.2.83 Genetic Localization
led to the,Green,4.2.84 Resulted in
identification of,Green,4.2.85 Discover
that were absent from,Green,4.2.86 Human Cohort
confirmed that,Green,4.2.80 Confirmation
markedly impaired,Green,4.2.88 Disrupted something
further validated by,Green,4.2.80 Confirmation
caused less severe,Green,4.2.9 Comparative Analysis
been defined,Green,4.2.91 New Definition
Taken together with the,Green,4.2.92 Added Evidence
which encodes,Green,4.2.04 Functional Role
these genetic findings underline,Green,4.2.94 Findings
underlying,Green,4.2.79 Contributes to
the development of,Green,4.2.02 Cause-Effect
for the detection of,Green,4.2.63 Characterization
established PAH as a,Green,4.2.63 Characterization
has led to the,Green,4.2.33 Results
which have been validated as,Green,4.2.64 Evidence
fall within,Green,4.3.01 Cellular Signalling
forming the,Green,4.3.02 Molecular Structure
signalling in,Green,4.2.37 Cellular Process
who were,Green,4.3.04 Previous Evidence
confirmed,Green,4.3.05 New Evidence
segregation of the,Green,4.3.06 Genomic Location
identification of,Green,4.3.06 Genomic Location
further confirmed a,Green,4.2.80 Confirmation
reported as a,Green,4.2.05 Description
